"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
15.950,0.555,0.23,-6.0E-8
16.000,0.566,0.23,1.4E-4
16.050,0.578,0.23,0.0
16.100,0.589,0.23,0.0
16.150,0.600,0.23,0.0
16.200,0.611,0.22,-3.3E-4
16.250,0.623,0.23,0.0
16.300,0.634,0.23,0.0
16.350,0.645,0.23,0.0
16.400,0.657,0.23,0.0
16.450,0.668,0.23,0.0
16.500,0.679,0.23,0.0
16.550,0.690,0.23,0.0
16.600,0.702,0.22,0.0
16.650,0.713,0.22,-3.2E-4
16.700,0.724,0.22,0.0
16.750,0.735,0.23,0.0
16.800,0.747,0.23,0.0
16.850,0.758,0.23,0.0
16.900,0.769,0.23,0.0
16.950,0.781,0.23,0.0
17.000,0.792,0.23,0.0
17.050,0.803,0.23,0.0
17.100,0.814,0.22,0.0
17.150,0.826,0.22,0.0
17.200,0.837,0.23,0.0
17.250,0.848,0.23,0.0
17.300,0.859,0.23,0.0
17.350,0.871,0.23,0.0
17.400,0.882,0.23,-9.1E-5
17.450,0.893,0.23,0.0
17.500,0.905,0.23,0.0
17.550,0.916,0.23,0.0
17.600,0.927,0.23,0.0
17.650,0.938,0.23,0.0
17.700,0.950,0.23,0.0
17.750,0.961,0.23,0.0
17.800,0.973,0.23,1.0E-4
17.850,0.984,0.23,0.0
17.900,0.995,0.23,0.0
17.950,1.007,0.23,0.0
18.000,1.018,0.23,9.1E-4
18.050,1.029,0.23,0.0
18.100,1.041,0.23,0.0
18.150,1.052,0.22,0.0
18.200,1.063,0.23,0.0
18.250,1.074,0.23,0.0
18.300,1.086,0.23,0.0
18.350,1.097,0.23,0.0
18.400,1.109,0.23,6.7E-4
18.450,1.120,0.23,0.0
18.500,1.131,0.23,0.0
18.550,1.142,0.23,0.0
18.600,1.155,0.23,-0.1
18.650,1.165,0.22,0.0
18.700,1.176,0.22,0.0
18.750,1.187,0.23,0.0
18.800,1.199,0.23,0.0
18.850,1.210,0.23,0.0
18.900,1.221,0.23,0.1
18.950,1.233,0.23,0.0
19.000,1.246,0.23,0.0
19.050,1.256,0.23,-0.1
19.100,1.268,0.23,-0.1
19.150,1.279,0.23,-0.1
19.200,1.291,0.22,0.0
19.250,1.302,0.22,0.0
19.300,1.312,0.23,0.1
19.350,1.325,0.23,0.0
19.400,1.336,0.23,0.0
19.450,1.347,0.22,0.0
19.500,1.358,0.22,0.0
19.550,1.369,0.23,0.0
19.600,1.381,0.22,0.0
19.650,1.392,0.22,0.0
19.700,1.402,0.22,0.0
19.750,1.415,0.22,0.0
19.800,1.425,0.22,0.0
19.850,1.436,0.22,0.1
19.900,1.447,0.23,0.1
19.950,1.459,0.23,0.1
20.000,1.471,0.24,0.0
20.050,1.483,0.24,0.0
20.100,1.494,0.23,0.0
20.150,1.506,0.23,0.0
20.200,1.518,0.23,0.0
20.250,1.529,0.23,0.0
20.300,1.541,0.23,-5.2E-4
20.350,1.552,0.23,0.0
20.400,1.564,0.23,0.0
20.450,1.575,0.23,0.0
20.500,1.586,0.23,0.0
20.550,1.598,0.23,0.0
20.600,1.609,0.23,0.0
20.650,1.621,0.23,0.0
20.700,1.632,0.23,0.0
20.750,1.643,0.23,0.0
20.800,1.656,0.23,0.0
20.850,1.667,0.22,0.0
20.900,1.678,0.22,0.0
20.950,1.689,0.23,0.0
21.000,1.701,0.23,0.0
21.050,1.712,0.22,0.0
21.100,1.723,0.22,0.0
21.150,1.734,0.22,0.0
21.200,1.745,0.22,-0.1
21.250,1.757,0.21,-0.1
21.300,1.766,0.21,-0.1
21.350,1.777,0.21,9.9E-4
21.400,1.788,0.21,0.0
21.450,1.798,0.21,0.0
21.500,1.808,0.21,0.0
21.550,1.820,0.21,0.0
21.600,1.829,0.21,0.0
21.650,1.840,0.21,0.0
21.700,1.851,0.20,-0.1
21.750,1.861,0.20,0.0
21.800,1.870,0.20,0.0
21.850,1.881,0.20,0.0
21.900,1.891,0.21,0.0
21.950,1.901,0.21,-0.1
22.000,1.913,0.20,-0.1
22.050,1.921,0.19,-0.1
22.100,1.930,0.19,0.0
22.150,1.942,0.19,0.0
22.200,1.949,0.19,0.0
22.250,1.959,0.19,0.1
22.300,1.968,0.20,0.0
22.350,1.978,0.20,-0.4
22.400,1.989,0.18,-1.2
22.450,1.999,0.09,-1.9
22.500,2.000,-0.04,-1.9
22.550,1.992,-0.14,-1.3
22.600,1.983,-0.18,-0.6
22.650,1.974,-0.18,-0.1
22.700,1.965,-0.18,0.0
22.750,1.956,-0.18,0.0
22.800,1.947,-0.18,0.0
22.850,1.938,-0.18,0.0
22.900,1.929,-0.18,-4.0E-4
22.950,1.921,-0.18,0.0
23.000,1.911,-0.18,0.0
23.050,1.903,-0.18,0.0
23.100,1.894,-0.17,-8.4E-4
23.150,1.885,-0.18,0.0
23.200,1.876,-0.18,0.0
23.250,1.867,-0.18,0.0
23.300,1.859,-0.18,0.0
23.350,1.850,-0.18,0.0
23.400,1.841,-0.18,4.7E-4
23.450,1.832,-0.18,0.0
23.500,1.823,-0.17,0.0
23.550,1.815,-0.17,0.0
23.600,1.806,-0.18,0.0
23.650,1.797,-0.18,0.0
23.700,1.788,-0.18,0.0
23.750,1.779,-0.17,0.0
23.800,1.771,-0.17,0.0
23.850,1.762,-0.18,0.0
23.900,1.753,-0.18,0.0
23.950,1.744,-0.18,0.0
24.000,1.735,-0.18,0.0
24.050,1.727,-0.17,0.0
24.100,1.718,-0.18,0.0
24.150,1.709,-0.17,0.0
24.200,1.701,-0.17,0.0
24.250,1.693,-0.17,0.0
24.300,1.683,-0.17,0.0
24.350,1.676,-0.17,0.0
24.400,1.666,-0.17,0.0
24.450,1.658,-0.17,0.0
24.500,1.649,-0.17,0.0
24.550,1.641,-0.17,0.0
24.600,1.633,-0.16,0.0
24.650,1.625,-0.17,0.0
24.700,1.616,-0.16,0.0
24.750,1.608,-0.16,0.0
24.800,1.600,-0.16,0.0
24.850,1.592,-0.16,0.0
24.900,1.584,-0.16,0.0
24.950,1.576,-0.16,0.0
25.000,1.568,-0.17,0.0
25.050,1.560,-0.17,0.0
25.100,1.550,-0.16,0.0
25.150,1.544,-0.16,0.0
25.200,1.536,-0.16,0.0
25.250,1.526,-0.16,0.0
25.300,1.518,-0.16,0.0
25.350,1.513,-0.16,0.0
25.400,1.503,-0.16,0.0
25.450,1.495,-0.16,0.0
25.500,1.487,-0.16,0.0
25.550,1.479,-0.16,0.0
25.600,1.471,-0.16,0.0
25.650,1.464,-0.16,0.0
25.700,1.456,-0.16,0.0
25.750,1.448,-0.16,0.0
25.800,1.440,-0.15,0.0
25.850,1.433,-0.15,0.0
25.900,1.425,-0.15,0.0
25.950,1.417,-0.15,0.0
26.000,1.410,-0.15,0.0
26.050,1.403,-0.15,-0.1
26.100,1.394,-0.16,-0.1
26.150,1.388,-0.16,0.0
26.200,1.378,-0.16,0.0
26.250,1.371,-0.16,0.1
26.300,1.363,-0.15,0.1
26.350,1.356,-0.15,0.0
26.400,1.349,-0.15,-0.1
26.450,1.342,-0.15,-0.1
26.500,1.333,-0.16,0.0
26.550,1.325,-0.16,0.1
